pl_name,pl_rade,pl_masse,pl_radj,pl_massj,pl_dens,st_dist,pl_disc,pl_telescope,pl_eqt,pl_discmethod,pl_facility,pl_mnum,pl_pelink,pl_edelink,pl_cbflag,pl_orbper,pl_pnum,ra,dec,st_spstr,st_age,pl_ratdor,st_rad,rowupdate
70 Vir b,,,,,,18.11,1996,3.0 m C. Donald Shane Telescope,,Radial Velocity,Lick Observatory,0,http://exoplanet.eu/catalog/70_vir_b/,http://exoplanets.org/detail/70_Vir_b,0,116.69260000,1,202.107544,13.778788,G4 V,7.770,,1.94,2015-04-24
75 Cet b,,,,,,81.50,2012,1.88 m Telescope,,Radial Velocity,Okayama Astrophysical Observatory,0,http://exoplanet.eu/catalog/75_cet_b/,http://exoplanets.org/detail/75_Cet_b,0,691.90000000,1,38.039253,-1.034896,G3 III,,,10.50,2015-09-03
8 UMi b,,,,,,159.10,2015,1.8 m Telescope,,Radial Velocity,Bohyunsan Optical Astronomical Observatory,0,,,0,93.40000000,1,224.201477,74.900925,K0,1.700,,9.90,2015-10-15
81 Cet b,,,,,,97.18,2008,1.88 m Telescope,,Radial Velocity,Okayama Astrophysical Observatory,0,http://exoplanet.eu/catalog/81_cet_b/,http://exoplanets.org/detail/81_Cet_b,0,952.70000000,1,39.424168,-3.396175,G5 III,,,11.00,2014-05-14
91 Aqr b,,,,,,45.52,2013,0.6 m Coude Auxiliary Telescope,,Radial Velocity,Lick Observatory,0,http://exoplanet.eu/catalog/91_aqr_b/,http://exoplanets.org/detail/91_Aqr_b,0,181.40000000,1,348.972900,-9.087737,K0 III,3.560,,11.00,2014-05-14
AB Pic b,,4290.50000,,13.50000,,45.52,2005,8.2 m ESO VLT UT4 Yepun Telescope,,Imaging,Paranal Observatory,0,http://exoplanet.eu/catalog/ab_pic_b/,,0,,1,94.803802,-58.054310,K2 V,0.030,,,2014-05-14
BD+14 4559 b,,,,,,50.03,2009,9.2 m Hobby-Eberly Telescope,,Radial Velocity,McDonald Observatory,0,http://exoplanet.eu/catalog/bd14_4559_b/,http://exoplanets.org/detail/BD_+14_4559_b,0,268.94000000,1,318.399963,14.689387,K2 V,,,0.95,2014-05-14
BD+15 2940 b,,,,,,175.44,2013,9.2 m Hobby-Eberly Telescope,,Radial Velocity,McDonald Observatory,0,http://exoplanet.eu/catalog/bd+15_2940_b/,,0,137.48000000,1,240.095566,15.546930,K0,7.100,,14.70,2014-05-14
BD+20 1790 b,,,,,,25.40,2010,Multiple Telescopes,,Radial Velocity,Multiple Observatories,0,,,0,7.78287000,1,110.931612,20.416334,K5 V,0.058,,0.71,2015-03-26
BD+20 2457 b,,,,,,,2009,9.2 m Hobby-Eberly Telescope,,Radial Velocity,McDonald Observatory,0,http://exoplanet.eu/catalog/bd20_2457_b/,http://exoplanets.org/detail/BD_+20_2457_b,0,379.63000000,2,154.186910,19.891409,K2 II,,,49.00,2014-05-14
