GJ 667 C c,,,,,6.80,2011,3.6 m ESO Telescope,
Kepler-22 b,2.380,36.00000,0.212,0.11300,190.00,2011,0.95 m Kepler Telescope,262
Kepler-62 f,1.410,35.00000,0.126,0.11000,368.00,2013,0.95 m Kepler Telescope,208
Kepler-69 c,1.710,,0.153,,,2013,0.95 m Kepler Telescope,299
Kepler-186 f,1.170,,0.104,,172.00,2014,0.95 m Kepler Telescope,
Kepler-452 b,1.630,,0.145,,,2015,0.95 m Kepler Telescope,265
