11 Com b
11 UMi b
14 And b
14 Her b
16 Cyg B b
18 Del b
1RXS J160929.1-210524 b
24 Sex b
24 Sex c
2MASS J01225093-2439505 b
2MASS J02192210-3925225 b
2MASS J04414489+2301513 b
2MASS J12073346-3932539 b
2MASS J19383260+4603591 b
2MASS J21402931+1625183 A b
30 Ari B b
4 UMa b
42 Dra b
47 UMa b
47 UMa c
47 UMa d
51 Eri b
51 Peg b
55 Cnc b
55 Cnc c
55 Cnc d
55 Cnc e
55 Cnc f
6 Lyn b
61 Vir b
61 Vir c
61 Vir d
7 CMa b
70 Vir b
75 Cet b
8 UMi b
81 Cet b
91 Aqr b
AB Pic b
BD+14 4559 b
BD+15 2940 b
BD+20 1790 b
BD+20 2457 b
BD+20 2457 c
BD+20 274 b
BD+48 738 b
BD+49 828 b
BD-06 1339 b
BD-06 1339 c
BD-08 2823 b
BD-08 2823 c
BD-10 3166 b
BD-11 4672 b
BD-13 2130 b
BD-17 63 b
CFBDSIR J145829+101343 b
CHXR 73 b
CT Cha b
CoRoT-1 b
CoRoT-10 b
CoRoT-11 b
CoRoT-12 b
CoRoT-13 b
CoRoT-14 b
CoRoT-16 b
CoRoT-17 b
CoRoT-18 b
CoRoT-19 b
CoRoT-2 b
CoRoT-20 b
CoRoT-22 b
CoRoT-23 b
CoRoT-24 b
CoRoT-24 c
CoRoT-25 b
CoRoT-26 b
CoRoT-27 b
CoRoT-28 b
CoRoT-29 b
CoRoT-3 b
CoRoT-4 b
CoRoT-5 b
CoRoT-6 b
CoRoT-7 b
CoRoT-7 c
CoRoT-8 b
CoRoT-9 b
DENIS-P J082303.1-491201 b
DH Tau b
DP Leo b
FU Tau b
Fomalhaut b
GJ 1132 b
GJ 1214 b
GJ 15 A b
GJ 163 b
GJ 163 c
GJ 163 d
GJ 179 b
GJ 3021 b
GJ 317 b
GJ 328 b
GJ 3293 b
GJ 3293 c
GJ 3341 b
GJ 3470 b
GJ 3634 b
GJ 433 b
GJ 436 b
GJ 504 b
GJ 581 b
GJ 581 c
GJ 581 e
GJ 649 b
GJ 667 C b
GJ 667 C c
GJ 667 C e
GJ 667 C f
GJ 667 C g
GJ 674 b
GJ 676 A b
GJ 676 A d
GJ 676 A e
GJ 687 b
GJ 832 b
GJ 832 c
GJ 849 b
GJ 86 b
GJ 876 b
GJ 876 c
GJ 876 d
GJ 876 e
GQ Lup b
GSC 06214-00210 b
GU Psc b
HAT-P-1 b
HAT-P-11 b
HAT-P-12 b
HAT-P-13 b
HAT-P-13 c
HAT-P-14 b
HAT-P-15 b
HAT-P-16 b
HAT-P-17 b
HAT-P-17 c
HAT-P-18 b
HAT-P-19 b
HAT-P-2 b
HAT-P-20 b
HAT-P-21 b
HAT-P-22 b
HAT-P-23 b
HAT-P-24 b
HAT-P-25 b
HAT-P-26 b
HAT-P-27 b
HAT-P-28 b
HAT-P-29 b
HAT-P-3 b
HAT-P-30 b
HAT-P-31 b
HAT-P-32 b
HAT-P-33 b
HAT-P-34 b
HAT-P-35 b
HAT-P-36 b
HAT-P-37 b
HAT-P-38 b
HAT-P-39 b
HAT-P-4 b
HAT-P-40 b
HAT-P-41 b
HAT-P-42 b
HAT-P-43 b
HAT-P-44 b
HAT-P-44 c
HAT-P-45 b
HAT-P-46 b
HAT-P-49 b
HAT-P-5 b
HAT-P-50 b
HAT-P-51 b
HAT-P-52 b
HAT-P-53 b
HAT-P-54 b
HAT-P-55 b
HAT-P-56 b
HAT-P-57 b
HAT-P-6 b
HAT-P-7 b
HAT-P-8 b
HAT-P-9 b
HATS-1 b
HATS-10 b
HATS-13 b
HATS-14 b
HATS-2 b
HATS-3 b
HATS-4 b
HATS-5 b
HATS-6 b
HATS-8 b
HATS-9 b
HD 100546 b
HD 100655 b
HD 100777 b
HD 10180 c
HD 10180 d
HD 10180 e
HD 10180 f
HD 10180 g
HD 10180 h
HD 101930 b
HD 102117 b
HD 102195 b
HD 102272 b
HD 102329 b
HD 102365 b
HD 102956 b
HD 103197 b
HD 103720 b
HD 103774 b
HD 104067 b
HD 10442 b
HD 104985 b
HD 106252 b
HD 106270 b
HD 10647 b
HD 106515 A b
HD 106906 b
HD 10697 b
HD 107148 b
HD 108147 b
HD 108341 b
HD 108863 b
HD 108874 b
HD 108874 c
HD 109246 b
HD 109271 b
HD 109271 c
HD 109749 b
HD 110014 b
HD 111232 b
HD 113337 b
HD 113538 b
HD 113538 c
HD 114386 b
HD 114613 b
HD 114729 b
HD 114762 b
HD 114783 b
HD 11506 b
HD 11506 c
HD 116029 b
HD 117207 b
HD 11755 b
HD 117618 b
HD 118203 b
HD 11964 b
HD 11964 c
HD 11977 b
HD 120084 b
HD 121504 b
HD 125595 b
HD 125612 b
HD 125612 c
HD 125612 d
HD 12648 b
HD 12661 b
HD 12661 c
HD 126614 b
HD 128311 b
HD 128311 c
HD 129445 b
HD 130322 b
HD 131496 b
HD 131664 b
HD 13189 b
HD 132406 b
HD 132563 b
HD 134987 b
HD 134987 c
HD 136418 b
HD 137388 A b
HD 13908 b
HD 13908 c
HD 13931 b
HD 139357 b
HD 14067 b
HD 141937 b
HD 142 b
HD 142 c
HD 142022 A b
HD 142245 b
HD 142415 b
HD 143361 b
HD 145377 b
HD 145457 b
HD 145934 b
HD 1461 b
HD 1461 c
HD 147018 b
HD 147018 c
HD 147513 b
HD 148156 b
HD 148427 b
HD 149026 b
HD 149143 b
HD 1502 b
HD 150706 b
HD 152079 b
HD 152581 b
HD 153950 b
HD 154345 b
HD 154672 b
HD 154857 b
HD 154857 c
HD 155233 b
HD 155358 b
HD 155358 c
HD 156279 b
HD 156411 b
HD 156668 b
HD 156846 b
HD 158038 b
HD 159243 b
HD 159243 c
HD 159868 b
HD 159868 c
HD 1605 b
HD 1605 c
HD 160691 b
HD 160691 c
HD 160691 d
HD 160691 e
HD 16141 b
HD 16175 b
HD 162020 b
HD 163607 b
HD 163607 c
HD 16417 b
HD 164509 b
HD 164595 b
HD 164604 b
HD 164922 b
HD 1666 b
HD 166724 b
HD 167042 b
HD 168443 b
HD 168443 c
HD 168746 b
HD 1690 b
HD 169830 b
HD 169830 c
HD 170469 b
HD 17092 b
HD 171028 b
HD 171238 b
HD 17156 b
HD 173416 b
HD 175167 b
HD 175541 b
HD 175607 b
HD 177830 b
HD 177830 c
HD 178911 B b
HD 179079 b
HD 179949 b
HD 180314 b
HD 180902 b
HD 181342 b
HD 181433 b
HD 181433 c
HD 181433 d
HD 181720 b
HD 183263 b
HD 183263 c
HD 185269 b
HD 187085 b
HD 187123 b
HD 187123 c
HD 18742 b
HD 188015 b
HD 189733 b
HD 190360 b
HD 190360 c
HD 190647 b
HD 190984 b
HD 192263 b
HD 192310 b
HD 192310 c
HD 192699 b
HD 195019 b
HD 196050 b
HD 196067 b
HD 196885 b
HD 197037 b
HD 19994 b
HD 200964 b
HD 200964 c
HD 202206 b
HD 202206 c
HD 203030 b
HD 2039 b
HD 204313 b
HD 204313 c
HD 204941 b
HD 205739 b
HD 206610 b
HD 20782 b
HD 207832 b
HD 207832 c
HD 20794 b
HD 20794 c
HD 20794 d
HD 208487 b
HD 208527 b
HD 20868 b
HD 209458 b
HD 210277 b
HD 210702 b
HD 212301 b
HD 212771 b
HD 213240 b
HD 215497 b
HD 215497 c
HD 216435 b
HD 216437 b
HD 216536 b
HD 216770 b
HD 217107 b
HD 217107 c
HD 217786 b
HD 218566 b
HD 219077 b
HD 219134 b
HD 219134 c
HD 219134 d
HD 219134 e
HD 219134 f
HD 219134 g
HD 219134 h
HD 219415 b
HD 219828 b
HD 220074 b
HD 220689 b
HD 220773 b
HD 221287 b
HD 222155 b
HD 222582 b
HD 224693 b
HD 22781 b
HD 23079 b
HD 23127 b
HD 231701 b
HD 233604 b
HD 23596 b
HD 240210 b
HD 240237 b
HD 24040 b
HD 24064 b
HD 25171 b
HD 2638 b
HD 27442 b
HD 27631 b
HD 27894 b
HD 28185 b
HD 28254 b
HD 285507 b
HD 285968 b
HD 28678 b
HD 290327 b
HD 2952 b
HD 30177 b
HD 30562 b
HD 30669 b
HD 30856 b
HD 31253 b
HD 32518 b
HD 330075 b
HD 33142 b
HD 33283 b
HD 33564 b
HD 34445 b
HD 3651 b
HD 37124 b
HD 37124 c
HD 37124 d
HD 37605 b
HD 37605 c
HD 38283 b
HD 38529 b
HD 38529 c
HD 38801 b
HD 39091 b
HD 40307 b
HD 40307 c
HD 40307 d
HD 40307 f
HD 40307 g
HD 40979 b
HD 41004 A b
HD 41004 B b
HD 4113 b
HD 4203 b
HD 4203 c
HD 4208 b
HD 4308 b
HD 4313 b
HD 43197 b
HD 43691 b
HD 44219 b
HD 45350 b
HD 45364 b
HD 45364 c
HD 45652 b
HD 46375 b
HD 47186 b
HD 47186 c
HD 4732 b
HD 4732 c
HD 47536 b
HD 48265 b
HD 49674 b
HD 50499 b
HD 50554 b
HD 52265 b
HD 5319 b
HD 5319 c
HD 5608 b
HD 564 b
HD 5891 b
HD 60532 b
HD 60532 c
HD 62509 b
HD 63454 b
HD 63765 b
HD 6434 b
HD 65216 b
HD 65216 c
HD 66141 b
HD 66428 b
HD 67087 b
HD 67087 c
HD 6718 b
HD 68988 b
HD 69830 b
HD 69830 c
HD 69830 d
HD 70573 b
HD 70642 b
HD 7199 b
HD 72659 b
HD 73256 b
HD 73267 b
HD 73526 b
HD 73526 c
HD 73534 b
HD 74156 b
HD 74156 c
HD 7449 b
HD 7449 c
HD 75289 b
HD 75784 b
HD 75898 b
HD 76700 b
HD 77338 b
HD 7924 b
HD 7924 c
HD 7924 d
HD 79498 b
HD 80606 b
HD 81040 b
HD 81688 b
HD 82886 b
HD 82943 b
HD 82943 c
HD 83443 b
HD 8535 b
HD 85390 b
HD 85512 b
HD 8574 b
HD 86081 b
HD 86226 b
HD 86264 b
HD 8673 b
HD 87883 b
HD 88133 b
HD 89307 b
HD 89744 b
HD 90156 b
HD 92788 b
HD 93083 b
HD 9446 b
HD 9446 c
HD 95086 b
HD 95089 b
HD 95127 b
HD 96063 b
HD 96127 b
HD 96167 b
HD 97658 b
HD 98219 b
HD 98649 b
HD 99109 b
HD 99492 b
HD 99492 c
HD 99706 b
HIP 105854 b
