GJ 667 C c,,,,,,6.80,2011,3.6 m ESO Telescope,,Radial Velocity,La Silla Observatory,0,http://exoplanet.eu/catalog/gj_667c_c/,http://exoplanets.org/detail/GJ_667_C_c,0,28.14000000,5,259.745085,-34.996827,M1.5 V,2.000,,,2014-05-14
Kepler-22 b,2.380,36.00000,0.212,0.11300,14.70000,190.00,2011,0.95 m Kepler Telescope,262,Transit,Kepler,0,http://exoplanet.eu/catalog/kepler-22_b/,http://exoplanets.org/detail/Kepler-22_b,0,289.86230000,1,289.217484,47.884464,G5 V,,186.400000,0.98,2014-05-14
Kepler-62 f,1.410,35.00000,0.126,0.11000,,368.00,2013,0.95 m Kepler Telescope,208,Transit,Kepler,0,http://exoplanet.eu/catalog/kepler-62_f/,http://exoplanets.org/detail/Kepler-62_f,0,267.29100000,5,283.212747,45.349865,K2 V,7.000,243.000000,0.64,2014-05-14
Kepler-69 c,1.710,,0.153,,,,2013,0.95 m Kepler Telescope,299,Transit,Kepler,0,http://exoplanet.eu/catalog/kepler-69_c/,http://exoplanets.org/detail/Kepler-69_c,0,242.46130000,2,293.260938,44.868896,G4 V,,148.000000,0.93,2014-05-14
Kepler-186 f,1.170,,0.104,,,172.00,2014,0.95 m Kepler Telescope,,Transit,Kepler,0,http://exoplanet.eu/catalog/kepler-186_f/,http://exoplanets.org/detail/Kepler-186_f,0,129.94410000,5,298.652714,43.955017,M1,4.000,178.000000,0.52,2015-01-14
Kepler-452 b,1.630,,0.145,,,,2015,0.95 m Kepler Telescope,265,Transit,Kepler,0,,,0,384.84300000,1,296.003688,44.277561,G2,6.000,,1.11,2015-07-23
