pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
HD 16175 b,,,,,59.84,2009,3.0 m C. Donald Shane Telescope,
HD 162020 b,,,,,31.26,2002,1.2 m Leonhard Euler Telescope,
HD 163607 b,,,,,69.44,2010,10 m Keck I Telescope,
HD 163607 c,,,,,69.44,2010,10 m Keck I Telescope,
HD 16417 b,,,,,25.54,2008,3.9 m Anglo-Australian Telescope,
HD 164509 b,,,,,51.81,2010,10 m Keck I Telescope,
HD 164595 b,,,,,28.93,2015,1.93 m Telescope,
HD 164604 b,,,,,37.98,2009,6.5 m Magellan II Clay Telescope,
HD 164922 b,,,,,21.92,2005,10 m Keck I Telescope,
HD 1666 b,,,,,110.62,2015,Multiple Telescopes,
HD 166724 b,,,,,42.99,2012,1.2 m Leonhard Euler Telescope,
HD 167042 b,,,,,50.00,2007,3.0 m C. Donald Shane Telescope,
HD 168443 b,,,,,37.88,1998,10 m Keck I Telescope,
HD 168443 c,,,,,37.88,2000,10 m Keck I Telescope,
HD 168746 b,,,,,43.12,2002,1.2 m Leonhard Euler Telescope,
HD 1690 b,,,,,7.01,2010,3.6 m ESO Telescope,
HD 169830 b,,,,,36.32,2000,1.2 m Leonhard Euler Telescope,
HD 169830 c,,,,,36.32,2003,1.2 m Leonhard Euler Telescope,
HD 170469 b,,,,,64.98,2007,10 m Keck I Telescope,
HD 17092 b,,,,,,2007,9.2 m Hobby-Eberly Telescope,
HD 171028 b,,,,,90.00,2007,3.6 m ESO Telescope,
HD 171238 b,,,,,44.05,2009,1.2 m Leonhard Euler Telescope,
HD 17156 b,11.430,1023.37000,1.020,3.22000,75.00,2007,8.2 m Subaru Telescope,
HD 173416 b,,,,,134.95,2008,2.16 m Telescope,
HD 175167 b,,,,,67.02,2009,6.5 m Magellan II Clay Telescope,
HD 175541 b,,,,,127.55,2007,10 m Keck I Telescope,
HD 175607 b,,,,,45.27,2015,3.6 m ESO Telescope,
HD 177830 b,,,,,59.03,1999,10 m Keck I Telescope,
HD 177830 c,,,,,59.03,2010,10 m Keck I Telescope,
HD 178911 B b,,,,,46.73,2001,10 m Keck I Telescope,
HD 179079 b,,,,,63.69,2008,10 m Keck I Telescope,
HD 179949 b,,,,,27.05,2000,3.9 m Anglo-Australian Telescope,
HD 180314 b,,,,,131.75,2010,8.2 m Subaru Telescope,
HD 180902 b,,,,,114.55,2009,10 m Keck I Telescope,
HD 181342 b,,,,,115.47,2009,10 m Keck I Telescope,
HD 181433 b,,,,,26.15,2008,3.6 m ESO Telescope,
HD 181433 c,,,,,26.15,2008,3.6 m ESO Telescope,
HD 181433 d,,,,,26.15,2008,3.6 m ESO Telescope,
HD 181720 b,,,,,55.93,2009,3.6 m ESO Telescope,
HD 183263 b,,,,,52.83,2004,10 m Keck I Telescope,
HD 183263 c,,,,,52.83,2008,10 m Keck I Telescope,
HD 185269 b,,,,,47.37,2006,3.0 m C. Donald Shane Telescope,
HD 187085 b,,,,,44.98,2006,3.9 m Anglo-Australian Telescope,
HD 187123 b,,,,,47.92,1998,10 m Keck I Telescope,
HD 187123 c,,,,,47.92,2008,10 m Keck I Telescope,
HD 18742 b,,,,,127.88,2011,10 m Keck I Telescope,
HD 188015 b,,,,,52.63,2004,10 m Keck I Telescope,
HD 189733 b,12.902,365.48900,1.151,1.15000,19.25,2005,1.93 m Telescope,1191
HD 190360 b,,,,,15.89,2003,1.93 m Telescope,
HD 190360 c,,,,,15.89,2005,10 m Keck I Telescope,
HD 190647 b,,,,,54.23,2007,3.6 m ESO Telescope,
HD 190984 b,,,,,189.39,2009,3.6 m ESO Telescope,
HD 192263 b,,,,,19.89,1999,1.2 m Leonhard Euler Telescope,
HD 192310 b,,,,,8.82,2011,3.6 m ESO Telescope,355
HD 192310 c,,,,,8.82,2011,3.6 m ESO Telescope,185
HD 192699 b,,,,,67.39,2007,3.0 m C. Donald Shane Telescope,
HD 195019 b,,,,,37.35,1998,3.0 m C. Donald Shane Telescope,
HD 196050 b,,,,,46.93,2002,3.9 m Anglo-Australian Telescope,
HD 196067 b,,,,,43.57,2012,1.2 m Leonhard Euler Telescope,
HD 196885 b,,,,,32.99,2007,1.93 m Telescope,
HD 197037 b,,,,,32.83,2011,2.7 m Harlan J. Smith Telescope,
HD 19994 b,,,,,22.38,2003,1.2 m Leonhard Euler Telescope,
HD 200964 b,,,,,68.35,2010,3.0 m C. Donald Shane Telescope,
HD 200964 c,,,,,68.35,2010,3.0 m C. Donald Shane Telescope,
HD 202206 b,,,,,46.34,2002,1.2 m Leonhard Euler Telescope,
HD 202206 c,,,,,46.34,2004,1.2 m Leonhard Euler Telescope,
HD 203030 b,,7656.09700,,24.09000,40.85,2006,5.1 m Hale Telescope,1206
HD 2039 b,,,,,89.85,2002,3.9 m Anglo-Australian Telescope,
HD 204313 b,,,,,47.30,2010,1.2 m Leonhard Euler Telescope,
HD 204313 c,,,,,47.30,2015,Multiple Telescopes,
HD 204941 b,,,,,26.95,2011,3.6 m ESO Telescope,
HD 205739 b,,,,,90.33,2008,6.5 m Magellan II Clay Telescope,
HD 206610 b,,,,,170.07,2009,10 m Keck I Telescope,
HD 20782 b,,,,,36.02,2006,3.9 m Anglo-Australian Telescope,
HD 207832 b,,,,,55.31,2012,10 m Keck I Telescope,
HD 207832 c,,,,,55.31,2012,10 m Keck I Telescope,
HD 20794 b,,,,,6.06,2011,3.6 m ESO Telescope,660
HD 20794 c,,,,,6.06,2011,3.6 m ESO Telescope,508
HD 20794 d,,,,,6.06,2011,3.6 m ESO Telescope,388
HD 208487 b,,,,,44.00,2004,3.9 m Anglo-Australian Telescope,
HD 208527 b,,,,,352.11,2012,1.8 m Telescope,
HD 20868 b,,,,,48.90,2008,3.6 m ESO Telescope,
HD 209458 b,15.468,226.92100,1.380,0.71400,47.08,1999,10 m Keck I Telescope,1459
HD 210277 b,,,,,21.29,1998,10 m Keck I Telescope,
HD 210702 b,,,,,55.93,2007,3.0 m C. Donald Shane Telescope,
HD 212301 b,,,,,52.72,2005,3.6 m ESO Telescope,
HD 212771 b,,,,,121.80,2009,10 m Keck I Telescope,
HD 213240 b,,,,,40.75,2001,1.2 m Leonhard Euler Telescope,
HD 215497 b,,,,,43.53,2009,3.6 m ESO Telescope,
HD 215497 c,,,,,43.53,2009,3.6 m ESO Telescope,
HD 216435 b,,,,,33.29,2002,3.9 m Anglo-Australian Telescope,
HD 216437 b,,,,,26.52,2002,3.9 m Anglo-Australian Telescope,
HD 216536 b,,,,,,2015,9.2 m Hobby-Eberly Telescope,
HD 216770 b,,,,,37.89,2003,1.2 m Leonhard Euler Telescope,
HD 217107 b,,,,,19.72,1998,3.0 m C. Donald Shane Telescope,
HD 217107 c,,,,,19.72,2005,3.0 m C. Donald Shane Telescope,
HD 217786 b,,,,,54.92,2010,3.6 m ESO Telescope,
HD 218566 b,,,,,29.94,2010,10 m Keck I Telescope,
HD 219077 b,,,,,29.20,2012,1.2 m Leonhard Euler Telescope,
HD 219134 b,,,,,6.55,2015,3.58 m Telescopio Nazionale Galileo,
HD 219134 c,,,,,6.55,2015,3.58 m Telescopio Nazionale Galileo,
HD 219134 d,,,,,6.55,2015,3.58 m Telescopio Nazionale Galileo,
HD 219134 e,,,,,6.55,2015,3.58 m Telescopio Nazionale Galileo,
HD 219134 f,,,,,6.55,2015,Multiple Telescopes,
HD 219134 g,,,,,6.55,2015,Multiple Telescopes,
HD 219134 h,,,,,6.55,2015,Multiple Telescopes,
HD 219415 b,,,,,,2012,9.2 m Hobby-Eberly Telescope,
HD 219828 b,,,,,81.10,2007,3.6 m ESO Telescope,
HD 220074 b,,,,,289.02,2012,1.8 m Telescope,
HD 220689 b,,,,,45.23,2012,1.2 m Leonhard Euler Telescope,
HD 220773 b,,,,,48.43,2011,9.2 m Hobby-Eberly Telescope,
HD 221287 b,,,,,52.88,2007,3.6 m ESO Telescope,
HD 222155 b,,,,,50.45,2011,1.93 m Telescope,
HD 222582 b,,,,,41.95,1999,10 m Keck I Telescope,
HD 224693 b,,,,,94.07,2006,10 m Keck I Telescope,
HD 22781 b,,,,,31.79,2011,1.93 m Telescope,
HD 23079 b,,,,,34.60,2001,3.9 m Anglo-Australian Telescope,
HD 23127 b,,,,,89.13,2006,3.9 m Anglo-Australian Telescope,
HD 231701 b,,,,,108.46,2007,10 m Keck I Telescope,
HD 233604 b,,,,,,2013,9.2 m Hobby-Eberly Telescope,
HD 23596 b,,,,,51.97,2003,1.93 m Telescope,
HD 240210 b,,,,,,2009,9.2 m Hobby-Eberly Telescope,
HD 240237 b,,,,,307.69,2011,9.2 m Hobby-Eberly Telescope,
HD 24040 b,,,,,46.51,2006,10 m Keck I Telescope,
HD 24064 b,,,,,264.40,2015,1.8 m Telescope,
HD 25171 b,,,,,56.05,2010,3.6 m ESO Telescope,
HD 2638 b,,,,,53.71,2005,3.6 m ESO Telescope,
HD 27442 b,,,,,18.24,2000,3.9 m Anglo-Australian Telescope,
HD 27631 b,,,,,44.54,2012,1.2 m Leonhard Euler Telescope,
HD 27894 b,,,,,42.37,2005,3.6 m ESO Telescope,
HD 28185 b,,,,,39.56,2001,1.2 m Leonhard Euler Telescope,
HD 28254 b,,,,,54.70,2010,3.6 m ESO Telescope,
HD 285507 b,,,,,42.43,2013,1.5 m Tillinghast Reflector Telescope,
HD 285968 b,,,,,9.42,2008,3.6 m ESO Telescope,450
HD 28678 b,,,,,168.92,2011,10 m Keck I Telescope,
HD 290327 b,,,,,56.70,2009,3.6 m ESO Telescope,
HD 2952 b,,,,,115.21,2013,1.88 m Telescope,
HD 30177 b,,,,,54.71,2002,3.9 m Anglo-Australian Telescope,
HD 30562 b,,,,,26.50,2009,3.0 m C. Donald Shane Telescope,
HD 30669 b,,,,,57.10,2014,3.6 m ESO Telescope,
HD 30856 b,,,,,121.07,2011,10 m Keck I Telescope,
HD 31253 b,,,,,53.82,2010,10 m Keck I Telescope,
HD 32518 b,,,,,117.37,2009,2.0 m Alfred Jensch Telescope,
HD 330075 b,,,,,50.20,2004,3.6 m ESO Telescope,990
HD 33142 b,,,,,136.80,2011,10 m Keck I Telescope,
HD 33283 b,,,,,86.88,2006,10 m Keck I Telescope,
HD 33564 b,,,,,20.98,2005,1.93 m Telescope,
HD 34445 b,,,,,45.01,2009,10 m Keck I Telescope,
HD 3651 b,,,,,11.11,2003,Multiple Telescopes,
HD 37124 b,,,,,33.24,2002,10 m Keck I Telescope,
HD 37124 c,,,,,33.24,2002,10 m Keck I Telescope,
HD 37124 d,,,,,33.24,2005,10 m Keck I Telescope,
HD 37605 b,,,,,42.88,2004,9.2 m Hobby-Eberly Telescope,
HD 37605 c,,,,,42.88,2012,Multiple Telescopes,
HD 38283 b,,,,,37.78,2010,3.9 m Anglo-Australian Telescope,
HD 38529 b,,,,,42.43,2000,Multiple Telescopes,
HD 38529 c,,,,,42.43,2000,Multiple Telescopes,
HD 38801 b,,,,,99.40,2009,8.2 m Subaru Telescope,
HD 39091 b,,,,,18.21,2001,3.9 m Anglo-Australian Telescope,
HD 40307 b,,,,,12.83,2009,3.6 m ESO Telescope,
HD 40307 c,,,,,12.83,2009,3.6 m ESO Telescope,
HD 40307 d,,,,,12.83,2009,3.6 m ESO Telescope,
HD 40307 f,,,,,12.83,2013,3.6 m ESO Telescope,
HD 40307 g,,,,,12.83,2013,3.6 m ESO Telescope,
HD 40979 b,,,,,33.33,2002,Multiple Telescopes,
HD 41004 A b,,,,,43.03,2004,1.2 m Leonhard Euler Telescope,
HD 41004 B b,,,,,43.03,2003,1.2 m Leonhard Euler Telescope,
HD 4113 b,,,,,44.05,2007,1.2 m Leonhard Euler Telescope,
HD 4203 b,,,,,77.82,2001,10 m Keck I Telescope,
HD 4203 c,,,,,77.82,2014,8.19 m Gemini North Telescope,
HD 4208 b,,,,,32.70,2001,10 m Keck I Telescope,
HD 4308 b,,,,,21.85,2005,3.6 m ESO Telescope,
HD 4313 b,,,,,131.41,2009,10 m Keck I Telescope,
HD 43197 b,,,,,56.30,2010,3.6 m ESO Telescope,
HD 43691 b,,,,,93.20,2007,1.93 m Telescope,
HD 44219 b,,,,,50.40,2010,3.6 m ESO Telescope,
HD 45350 b,,,,,48.95,2004,10 m Keck I Telescope,
HD 45364 b,,,,,32.58,2008,3.6 m ESO Telescope,
HD 45364 c,,,,,32.58,2008,3.6 m ESO Telescope,
HD 45652 b,,,,,36.14,2008,1.93 m Telescope,
HD 46375 b,,,,,33.41,2000,10 m Keck I Telescope,
HD 47186 b,,,,,37.84,2008,3.6 m ESO Telescope,
HD 47186 c,,,,,37.84,2008,3.6 m ESO Telescope,
HD 4732 b,,,,,56.50,2012,Multiple Telescopes,
HD 4732 c,,,,,56.50,2012,Multiple Telescopes,
HD 47536 b,,,,,121.36,2002,1.52 m ESO Telescope,
HD 48265 b,,,,,87.41,2008,6.5 m Magellan II Clay Telescope,
HD 49674 b,,,,,40.73,2002,10 m Keck I Telescope,
HD 50499 b,,,,,47.26,2005,10 m Keck I Telescope,
HD 50554 b,,,,,31.03,2002,0.6 m Coude Auxiliary Telescope,
HD 52265 b,,,,,28.07,2000,10 m Keck I Telescope,405
HD 5319 b,,,,,114.00,2007,10 m Keck I Telescope,
HD 5319 c,,,,,114.00,2014,10 m Keck I Telescope,
HD 5608 b,,,,,58.17,2012,1.88 m Telescope,
HD 564 b,,,,,53.60,2014,3.6 m ESO Telescope,
HD 5891 b,,,,,150.60,2011,10 m Keck I Telescope,
HD 60532 b,,,,,25.70,2008,3.6 m ESO Telescope,
HD 60532 c,,,,,25.70,2008,3.6 m ESO Telescope,
HD 62509 b,,,,,10.34,2006,Multiple Telescopes,
HD 63454 b,12.310,,1.098,,35.80,2005,3.6 m ESO Telescope,
HD 63765 b,,,,,32.62,2009,3.6 m ESO Telescope,
HD 6434 b,,,,,40.32,2003,1.2 m Leonhard Euler Telescope,
HD 65216 b,,,,,35.59,2003,1.2 m Leonhard Euler Telescope,
HD 65216 c,,,,,35.59,2011,3.6 m ESO Telescope,
HD 66141 b,,,,,80.06,2012,1.8 m Telescope,
HD 66428 b,,,,,55.04,2005,10 m Keck I Telescope,
HD 67087 b,,,,,88.81,2015,Multiple Telescopes,
HD 67087 c,,,,,88.81,2015,Multiple Telescopes,
HD 6718 b,,,,,54.90,2009,3.6 m ESO Telescope,
HD 68988 b,,,,,58.82,2001,Multiple Telescopes,
HD 69830 b,,,,,12.58,2006,3.6 m ESO Telescope,
HD 69830 c,,,,,12.58,2006,3.6 m ESO Telescope,
HD 69830 d,,,,,12.58,2006,3.6 m ESO Telescope,
HD 70573 b,,,,,45.70,2007,2.2 m MPG/ESO Telescope,
HD 70642 b,,,,,28.76,2003,3.9 m Anglo-Australian Telescope,
HD 7199 b,,,,,35.88,2011,3.6 m ESO Telescope,
HD 72659 b,,,,,51.36,2002,10 m Keck I Telescope,
HD 73256 b,,,,,36.52,2003,1.2 m Leonhard Euler Telescope,
HD 73267 b,,,,,54.91,2008,3.6 m ESO Telescope,
HD 73526 b,,,,,94.61,2002,3.9 m Anglo-Australian Telescope,
HD 73526 c,,,,,94.61,2005,3.9 m Anglo-Australian Telescope,
HD 73534 b,,,,,81.00,2008,10 m Keck I Telescope,
HD 74156 b,,,,,64.56,2003,1.93 m Telescope,
HD 74156 c,,,,,64.56,2003,1.93 m Telescope,
HD 7449 b,,,,,38.52,2011,3.6 m ESO Telescope,
HD 7449 c,,,,,38.52,2011,3.6 m ESO Telescope,
HD 75289 b,,,,,28.94,1999,1.2 m Leonhard Euler Telescope,
HD 75784 b,,,,,68.70,2014,10 m Keck I Telescope,
HD 75898 b,,,,,80.58,2007,10 m Keck I Telescope,
HD 76700 b,,,,,59.70,2002,3.9 m Anglo-Australian Telescope,
HD 77338 b,,15.90000,,0.05000,41.27,2012,3.6 m ESO Telescope,
HD 7924 b,,,,,16.82,2008,10 m Keck I Telescope,826
HD 7924 c,,,,,16.82,2015,10 m Keck I Telescope,584
HD 7924 d,,,,,16.82,2015,10 m Keck I Telescope,499
HD 79498 b,,,,,48.64,2011,2.7 m Harlan J. Smith Telescope,
HD 80606 b,10.980,1252.20000,0.980,3.94000,29.04,2001,Multiple Telescopes,
HD 81040 b,,,,,32.56,2005,Multiple Telescopes,
HD 81688 b,,,,,88.26,2007,1.88 m Telescope,
HD 82886 b,,,,,112.23,2011,10 m Keck I Telescope,
HD 82943 b,,534.25000,,1.68100,27.46,2003,1.2 m Leonhard Euler Telescope,
HD 82943 c,,622.60300,,1.95900,27.46,2003,1.2 m Leonhard Euler Telescope,
HD 83443 b,,,,,43.53,2002,Multiple Telescopes,
HD 8535 b,,,,,52.50,2010,3.6 m ESO Telescope,
HD 85390 b,,,,,33.96,2009,3.6 m ESO Telescope,
HD 85512 b,,,,,11.15,2011,3.6 m ESO Telescope,298
HD 8574 b,,,,,44.15,2002,1.93 m Telescope,
HD 86081 b,,,,,91.16,2006,10 m Keck I Telescope,
HD 86226 b,,,,,42.48,2009,6.5 m Magellan II Clay Telescope,
HD 86264 b,,,,,72.57,2009,3.0 m C. Donald Shane Telescope,
HD 8673 b,,,,,38.26,2009,2.0 m Alfred Jensch Telescope,
HD 87883 b,,,,,18.06,2009,3.0 m C. Donald Shane Telescope,
HD 88133 b,,,,,74.46,2004,10 m Keck I Telescope,
HD 89307 b,,,,,30.88,2009,3.0 m C. Donald Shane Telescope,
HD 89744 b,,,,,38.99,1999,1.5 m Tillinghast Reflector Telescope,
HD 90156 b,,,,,22.09,2009,3.6 m ESO Telescope,
HD 92788 b,,,,,32.32,2000,Multiple Telescopes,
HD 93083 b,,,,,28.90,2005,3.6 m ESO Telescope,
HD 9446 b,,,,,52.85,2009,1.93 m Telescope,
HD 9446 c,,,,,52.85,2009,1.93 m Telescope,
HD 95086 b,,1589.00000,,5.00000,91.57,2013,8.2 m ESO VLT UT4 Yepun Telescope,1000
HD 95089 b,,,,,149.03,2009,10 m Keck I Telescope,
HD 95127 b,,,,,332.00,2015,9.2 m Hobby-Eberly Telescope,
HD 96063 b,,,,,132.80,2011,10 m Keck I Telescope,
HD 96127 b,,,,,221.24,2011,9.2 m Hobby-Eberly Telescope,
HD 96167 b,,,,,84.03,2009,10 m Keck I Telescope,
HD 97658 b,2.247,7.55000,0.200,0.02400,21.30,2010,10 m Keck I Telescope,757
HD 98219 b,,,,,150.38,2011,10 m Keck I Telescope,
HD 98649 b,,,,,42.77,2012,1.2 m Leonhard Euler Telescope,
HD 99109 b,,,,,60.46,2005,10 m Keck I Telescope,
HD 99492 b,,,,,17.99,2004,10 m Keck I Telescope,
HD 99492 c,,,,,17.99,2010,10 m Keck I Telescope,
HD 99706 b,,,,,130.89,2011,10 m Keck I Telescope,
HIP 105854 b,,,,,84.60,2014,Multiple Telescopes,
HIP 107773 b,,,,,,2015,Multiple Telescopes,
HIP 116454 b,2.530,11.82000,0.226,0.03700,55.20,2014,0.95 m Kepler Telescope,690
HIP 12961 b,,,,,23.80,2010,3.6 m ESO Telescope,
HIP 14810 b,,,,,52.88,2005,10 m Keck I Telescope,
HIP 14810 c,,,,,52.88,2006,10 m Keck I Telescope,
HIP 14810 d,,,,,52.88,2009,10 m Keck I Telescope,
HIP 5158 b,,,,,44.80,2009,3.6 m ESO Telescope,
HIP 5158 c,,,,,44.80,2011,3.6 m ESO Telescope,
HIP 57050 b,,,,,11.03,2010,10 m Keck I Telescope,
HIP 57274 b,,,,,25.87,2011,10 m Keck I Telescope,
HIP 57274 c,,,,,25.87,2011,10 m Keck I Telescope,
HIP 57274 d,,,,,25.87,2011,10 m Keck I Telescope,
HIP 63242 b,,,,,149.25,2013,Multiple Telescopes,
HIP 65891 b,,,,,,2015,Multiple Telescopes,
HIP 67851 b,,,,,,2015,Multiple Telescopes,
HIP 67851 c,,,,,,2015,Multiple Telescopes,
HIP 70849 b,,,,,23.98,2009,3.6 m ESO Telescope,
HIP 75458 b,,,,,31.33,2002,0.6 m Coude Auxiliary Telescope,
HIP 78530 b,,7300.00000,,23.00000,156.70,2010,8.19 m Gemini North Telescope,2700
HIP 79431 b,,,,,14.90,2009,10 m Keck I Telescope,
HIP 91258 b,,,,,44.46,2013,1.93 m Telescope,
HIP 97233 b,,,,,106.50,2014,Multiple Telescopes,
HN Peg b,11.777,6991.57000,1.051,21.99870,18.39,2006,0.85 m Spitzer Space Telescope,
HR 810 b,,,,,17.24,1999,1.4 m CAT Telescope,
HR 8799 b,13.000,2000.00000,1.200,7.00000,39.94,2008,8.19 m Gemini North Telescope,
HR 8799 c,13.000,3000.00000,1.200,10.00000,39.94,2008,8.19 m Gemini North Telescope,
HR 8799 d,13.000,3000.00000,1.200,10.00000,39.94,2008,10 m Keck II Telescope,
HR 8799 e,,,,,39.94,2010,10 m Keck II Telescope,
K2-10 b,3.920,,0.350,,271.00,2015,0.95 m Kepler Telescope,703
K2-11 b,7.550,,0.674,,2019.00,2015,0.95 m Kepler Telescope,734
K2-12 b,2.330,,0.208,,294.00,2015,0.95 m Kepler Telescope,1003
K2-13 b,1.890,,0.169,,290.00,2015,0.95 m Kepler Telescope,511
K2-14 b,4.810,,0.429,,219.00,2015,0.95 m Kepler Telescope,488
K2-15 b,2.480,,0.221,,437.00,2015,0.95 m Kepler Telescope,676
K2-16 b,2.130,,0.190,,324.00,2015,0.95 m Kepler Telescope,710
K2-16 c,2.140,,0.191,,324.00,2015,0.95 m Kepler Telescope,523
K2-17 b,2.230,,0.199,,134.00,2015,0.95 m Kepler Telescope,487
K2-18 b,2.240,,0.200,,34.00,2015,0.95 m Kepler Telescope,272
K2-19 b,7.460,44.00000,0.666,0.13844,291.00,2015,0.95 m Kepler Telescope,
K2-19 c,4.510,15.90000,0.402,0.05003,291.00,2015,0.95 m Kepler Telescope,
K2-21 b,1.590,,0.142,,65.00,2015,0.95 m Kepler Telescope,500
K2-21 c,1.920,,0.171,,65.00,2015,0.95 m Kepler Telescope,420
K2-22 b,2.500,444.96200,0.223,1.40000,225.00,2015,0.95 m Kepler Telescope,2100
K2-3 b,2.078,8.40000,0.185,0.02643,42.00,2015,0.95 m Kepler Telescope,
K2-3 c,1.644,2.10000,0.147,0.00661,42.00,2015,0.95 m Kepler Telescope,
K2-3 d,1.530,11.10000,0.136,0.03492,42.00,2015,0.95 m Kepler Telescope,
K2-4 b,2.370,,0.211,,,2015,0.95 m Kepler Telescope,563
K2-5 b,1.920,,0.171,,,2015,0.95 m Kepler Telescope,634
K2-5 c,1.920,,0.171,,,2015,0.95 m Kepler Telescope,511
K2-6 b,2.500,,0.223,,,2015,0.95 m Kepler Telescope,615
K2-7 b,2.670,,0.238,,,2015,0.95 m Kepler Telescope,651
K2-8 b,2.970,,0.265,,,2015,0.95 m Kepler Telescope,691
K2-9 b,1.600,,0.143,,,2015,0.95 m Kepler Telescope,284
KELT-1 b,12.442,8654.15000,1.110,27.23000,262.00,2012,Mamiya 645 80mm f/1.9,
KELT-2 A b,14.415,483.71700,1.286,1.52200,124.22,2012,Mamiya 645 80mm f/1.9,
KELT-3 b,15.076,469.41500,1.345,1.47700,178.00,2013,Mamiya 645 80mm f/1.9,1816
KELT-6 b,13.227,,1.180,,222.00,2014,Mamiya 645 80mm f/1.9,
KELT-6 c,,,,,222.00,2015,Multiple Telescopes,
KELT-7 b,17.183,406.82240,1.533,1.28000,129.00,2015,Mamiya 645 80mm f/1.9,2048
KELT-8 b,20.849,275.55861,1.860,0.86700,236.00,2015,Mamiya 645 80mm f/1.9,1675
KIC 10001893 b,,,,,,2014,0.95 m Kepler Telescope,
KIC 10001893 c,,,,,,2014,0.95 m Kepler Telescope,
KIC 10001893 d,,,,,,2014,0.95 m Kepler Telescope,
KOI-12 b,16.029,3178.30000,1.430,10.00000,426.00,2015,0.95 m Kepler Telescope,
KOI-13 b,16.948,2949.46240,1.512,9.28000,,2011,0.95 m Kepler Telescope,2550
KOI-142 b,3.780,8.70000,0.337,0.02700,339.00,2013,0.95 m Kepler Telescope,
KOI-142 c,,198.80000,,0.62600,339.00,2013,0.95 m Kepler Telescope,
KOI-217 b,12.442,,1.110,,800.00,2010,0.95 m Kepler Telescope,
KOI-351 b,1.310,,0.117,,780.00,2013,0.95 m Kepler Telescope,
KOI-351 c,1.190,,0.106,,780.00,2013,0.95 m Kepler Telescope,
KOI-351 d,2.870,,0.256,,780.00,2013,0.95 m Kepler Telescope,
KOI-351 e,2.660,,0.237,,780.00,2013,0.95 m Kepler Telescope,
KOI-351 f,2.880,,0.257,,780.00,2013,0.95 m Kepler Telescope,
KOI-351 g,8.100,,0.723,,780.00,2013,0.95 m Kepler Telescope,
KOI-351 h,11.300,,1.008,,780.00,2013,0.95 m Kepler Telescope,
KOI-55 b,0.759,0.44000,0.068,0.00140,1180.00,2011,0.95 m Kepler Telescope,
KOI-55 c,0.867,0.65500,0.077,0.00210,1180.00,2011,0.95 m Kepler Telescope,
KOI-94 b,1.710,10.50000,0.153,0.03300,,2013,0.95 m Kepler Telescope,1486
KOI-94 c,4.320,15.60000,0.385,0.04900,,2013,0.95 m Kepler Telescope,1012
KOI-94 d,11.270,106.00000,1.005,0.33400,,2013,0.95 m Kepler Telescope,806
KOI-94 e,6.560,35.00000,0.585,0.11000,,2013,0.95 m Kepler Telescope,584
Kapteyn c,,,,,3.92,2014,Multiple Telescopes,
Kepler-10 b,1.481,4.60853,0.132,0.01450,173.00,2011,0.95 m Kepler Telescope,2130
Kepler-10 c,2.350,17.20000,0.210,0.05400,173.00,2011,0.95 m Kepler Telescope,584
Kepler-100 b,1.320,7.34000,0.118,0.02300,,2014,0.95 m Kepler Telescope,
Kepler-100 c,2.200,0.85000,0.196,0.00300,,2014,0.95 m Kepler Telescope,
Kepler-100 d,1.610,3.00000,0.144,0.00900,,2014,0.95 m Kepler Telescope,
Kepler-101 b,5.770,51.10000,0.510,0.16000,,2014,0.95 m Kepler Telescope,1513
Kepler-101 c,1.250,3.78000,0.112,0.01000,,2014,0.95 m Kepler Telescope,1413
Kepler-102 b,0.470,0.41000,0.042,0.00100,,2014,0.95 m Kepler Telescope,
Kepler-102 c,0.580,3.00000,0.052,0.00900,,2014,0.95 m Kepler Telescope,
Kepler-102 d,1.180,3.80000,0.105,0.01200,,2014,0.95 m Kepler Telescope,
Kepler-102 e,2.220,8.93000,0.198,0.02800,,2013,0.95 m Kepler Telescope,
Kepler-102 f,0.880,0.62000,0.079,0.00200,,2014,0.95 m Kepler Telescope,
Kepler-103 b,3.370,9.70000,0.301,0.03100,,2014,0.95 m Kepler Telescope,
Kepler-103 c,5.140,36.10000,0.459,0.11400,,2014,0.95 m Kepler Telescope,
Kepler-104 b,3.100,,0.277,,,2014,0.95 m Kepler Telescope,
Kepler-104 c,3.130,,0.279,,,2014,0.95 m Kepler Telescope,
Kepler-104 d,3.580,,0.319,,,2014,0.95 m Kepler Telescope,
Kepler-105 b,4.810,,0.429,,,2013,0.95 m Kepler Telescope,1418
Kepler-105 c,1.610,,0.144,,,2014,0.95 m Kepler Telescope,
Kepler-106 b,0.820,0.15000,0.073,0.00050,,2014,0.95 m Kepler Telescope,
Kepler-106 c,2.500,10.44000,0.223,0.03300,,2014,0.95 m Kepler Telescope,
Kepler-106 d,0.950,8.10000,0.085,0.02500,,2014,0.95 m Kepler Telescope,
Kepler-106 e,2.560,11.17000,0.228,0.03500,,2014,0.95 m Kepler Telescope,
Kepler-107 b,1.560,,0.139,,,2014,0.95 m Kepler Telescope,
Kepler-107 c,1.810,,0.161,,,2014,0.95 m Kepler Telescope,
Kepler-107 d,1.070,,0.095,,,2014,0.95 m Kepler Telescope,
Kepler-107 e,3.450,,0.308,,,2014,0.95 m Kepler Telescope,
Kepler-108 b,8.650,,0.772,,,2014,0.95 m Kepler Telescope,
