pl_name,pl_rade,pl_masse,pl_radj,pl_massj,st_dist,pl_disc,pl_telescope,pl_eqt
CoRoT-25 b,12.110,85.81000,1.080,0.27000,1000.00,2013,0.27 m CoRoT Telescope,1330
CoRoT-26 b,14.120,165.26000,1.260,0.52000,1670.00,2013,0.27 m CoRoT Telescope,1600
CoRoT-27 b,11.287,3302.11000,1.007,10.39000,,2014,0.27 m CoRoT Telescope,1500
CoRoT-28 b,10.705,153.82972,0.955,0.48400,560.00,2015,0.27 m CoRoT Telescope,
CoRoT-29 b,10.088,270.15550,0.900,0.85000,765.00,2015,0.27 m CoRoT Telescope,
CoRoT-3 b,11.320,6883.91000,1.010,21.66000,680.00,2008,0.27 m CoRoT Telescope,
CoRoT-4 b,13.340,228.83000,1.190,0.72000,,2008,0.27 m CoRoT Telescope,1074
CoRoT-5 b,15.558,148.42000,1.388,0.46700,,2009,0.27 m CoRoT Telescope,1438
CoRoT-6 b,13.068,940.74000,1.166,2.96000,,2009,0.27 m CoRoT Telescope,1017
CoRoT-7 b,1.585,5.74000,0.141,0.01800,153.70,2009,0.27 m CoRoT Telescope,1756
CoRoT-7 c,,8.40000,,0.02643,153.70,2009,0.27 m CoRoT Telescope,
CoRoT-8 b,6.390,69.92000,0.570,0.22000,380.00,2010,0.27 m CoRoT Telescope,
CoRoT-9 b,11.770,266.97000,1.050,0.84000,460.00,2009,0.27 m CoRoT Telescope,
DENIS-P J082303.1-491201 b,,9057.77000,,28.50000,20.77,2013,8.2 m ESO VLT UT1 Antu Telescope,
DH Tau b,,3496.00000,,11.00000,140.00,2004,8.2 m Subaru Telescope,
DP Leo b,,,,,,2009,2.4 m Lijiang Station Telescope,
FU Tau b,,4993.10700,,15.71100,,2008,0.85 m Spitzer Space Telescope,2375
Fomalhaut b,,,,,7.69,2008,2.4 m Hubble Space Telescope,
GJ 1132 b,1.160,1.62000,0.103,0.00510,12.04,2015,MEarth-South telescope array,409
GJ 1214 b,2.270,6.43000,0.203,0.02000,,2009,0.4 m MEarth Telescope,
GJ 15 A b,,,,,3.57,2014,10 m Keck I Telescope,
GJ 163 b,,,,,14.97,2013,3.6 m ESO Telescope,
GJ 163 c,,,,,14.97,2013,3.6 m ESO Telescope,
GJ 163 d,,,,,14.97,2013,3.6 m ESO Telescope,
GJ 179 b,,,,,12.12,2009,10 m Keck I Telescope,
GJ 3021 b,,,,,17.62,2000,1.2 m Leonhard Euler Telescope,350
GJ 317 b,,794.50000,,2.50000,15.10,2007,10 m Keck I Telescope,
GJ 328 b,,,,,20.03,2013,9.2 m Hobby-Eberly Telescope,
GJ 3293 b,,,,,,2015,3.6 m ESO Telescope,
GJ 3293 c,,,,,,2015,3.6 m ESO Telescope,
GJ 3341 b,,,,,,2015,3.6 m ESO Telescope,
GJ 3470 b,3.880,13.73000,0.346,0.04300,25.20,2012,3.6 m ESO Telescope,604
GJ 3634 b,,8.40000,,0.02600,19.80,2010,3.6 m ESO Telescope,
GJ 433 b,,,,,9.04,2011,3.6 m ESO Telescope,
GJ 436 b,4.170,22.10000,0.372,0.07000,10.23,2004,10 m Keck I Telescope,
GJ 504 b,,1271.30000,,4.00000,17.95,2013,8.2 m Subaru Telescope,510
GJ 581 b,,,,,6.27,2005,3.6 m ESO Telescope,
GJ 581 c,,,,,6.27,2005,3.6 m ESO Telescope,
GJ 581 e,,,,,6.27,2005,3.6 m ESO Telescope,
GJ 649 b,,,,,10.32,2009,10 m Keck I Telescope,
GJ 667 C b,,,,,6.80,2011,3.6 m ESO Telescope,
GJ 667 C c,,,,,6.80,2011,3.6 m ESO Telescope,
GJ 667 C e,,,,,6.80,2013,3.6 m ESO Telescope,
GJ 667 C f,,,,,6.80,2013,3.6 m ESO Telescope,
GJ 667 C g,,,,,6.80,2013,3.6 m ESO Telescope,
GJ 674 b,,,,,4.54,2007,3.6 m ESO Telescope,
