pl_hostname,pl_name,pl_rade,pl_radj,pl_massj,pl_masse,pl_dens,pl_eqt,pl_telescope,pl_facility,pl_disc,pl_discmethod,pl_pnum,pl_orbper,st_dist,st_optmag,st_teff,st_mass,st_rad,hip_name,hd_name,st_age,ra,dec,pl_pelink,pl_edelink,rowupdate
2MASS J02192210-3925225,2MASS J02192210-3925225 b,16.141,1.440,13.90000,4417.83700,,,1.5 m CTIO Telescope,Cerro Tololo Inter-American Observatory,2015,Imaging,1,,39.40,,3064.00,0.11,0.28,,,0.035,34.842106,-39.422928,,,2015-05-14
2MASS J04414489+2301513,2MASS J04414489+2301513 b,,,7.50000,2383.60000,,,2.4 m Hubble Space Telescope,Hubble Space Telescope,2010,Imaging,1,,140.00,,,0.02,,,,0.001,70.437073,23.030941,http://exoplanet.eu/catalog/2m_044144_b/,,2014-05-14
2MASS J12073346-3932539,2MASS J12073346-3932539 b,,,4.00000,1271.00000,,1150,8.2 m ESO VLT UT4 Yepun Telescope,Paranal Observatory,2004,Imaging,1,,52.40,20.150,,0.02,,,,0.008,181.889447,-39.548332,http://exoplanet.eu/catalog/2m1207_b/,,2014-05-14
2MASS J19383260+4603591,2MASS J19383260+4603591 b,,,1.90000,603.87700,,,0.95 m Kepler Telescope,Kepler,2015,Eclipse Timing Variations,1,416.00000000,,12.264,,0.48,,,,,294.635865,46.066418,,,2015-06-04
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,10.310,0.920,20.95000,6657.48000,,2075,10 m Keck II Telescope,W. M. Keck Observatory,2009,Imaging,1,7336.50000000,25.00,,2300.00,0.08,0.12,,,,325.122159,16.421759,http://exoplanet.eu/catalog/2m_2140+16_b/,,2014-05-14
30 Ari B,30 Ari B b,,,,,,,2.0 m Alfred Jensch Telescope,Thueringer Landessternwarte Tautenburg,2009,Radial Velocity,1,335.10000000,39.43,,6300.00,1.16,1.13,HIP 12184,HD 16232,0.910,39.240585,24.648064,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b,2014-05-14
4 UMa,4 UMa b,,,,,,,2.0 m Alfred Jensch Telescope,Thueringer Landessternwarte Tautenburg,2006,Radial Velocity,1,269.30000000,77.40,4.610,4415.00,1.23,18.11,HIP 42527,HD 73108,4.604,130.053406,64.327934,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b,2014-05-14
42 Dra,42 Dra b,,,,,,,2.0 m Alfred Jensch Telescope,Thueringer Landessternwarte Tautenburg,2008,Radial Velocity,1,479.10000000,97.28,4.820,4200.00,0.98,22.03,HIP 90344,HD 170693,9.490,276.496399,65.563484,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b,2014-05-14
47 UMa,47 UMa b,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,1996,Radial Velocity,3,1078.00000000,14.08,5.050,5892.00,1.03,1.23,HIP 53721,HD 95128,7.300,164.866562,40.430256,http://exoplanet.eu/catalog/47_uma_b/,http://exoplanets.org/detail/47_UMa_b,2014-05-14
47 UMa,47 UMa c,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2001,Radial Velocity,3,2391.00000000,14.08,5.050,5892.00,1.03,1.23,HIP 53721,HD 95128,7.300,164.866562,40.430256,http://exoplanet.eu/catalog/47_uma_c/,http://exoplanets.org/detail/47_UMa_c,2014-05-14
47 UMa,47 UMa d,,,,,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2009,Radial Velocity,3,14002.00000000,14.08,5.050,5892.00,1.03,1.23,HIP 53721,HD 95128,7.300,164.866562,40.430256,http://exoplanet.eu/catalog/47_uma_d/,,2014-05-14
51 Eri,51 Eri b,,,2.00000,635.66000,,700,8.19 m Gemini South Telescope,Gemini Observatory,2015,Imaging,1,,29.40,5.230,,1.75,,HIP 21547,HD 29391,0.020,69.400551,-2.473548,,,2015-08-14
51 Peg,51 Peg b,,,,,,,1.93 m Telescope,Haute-Provence Observatory,1995,Radial Velocity,1,4.23078500,15.36,5.500,5793.00,1.12,1.20,HIP 113357,HD 217014,4.000,344.366577,20.768833,http://exoplanet.eu/catalog/51_peg_b/,http://exoplanets.org/detail/51_Peg_b,2014-05-14
55 Cnc,55 Cnc b,,,0.83060,263.97850,,,3.0 m C. Donald Shane Telescope,Lick Observatory,1996,Radial Velocity,5,14.65152000,12.53,5.960,5196.00,0.91,0.94,HIP 43587,HD 75732,10.200,133.149216,28.330818,http://exoplanet.eu/catalog/55_cnc_b/,http://exoplanets.org/detail/55_Cnc_b,2014-10-29
55 Cnc,55 Cnc c,,,0.17140,54.47380,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2004,Radial Velocity,5,44.41750000,12.53,5.960,5196.00,0.91,0.94,HIP 43587,HD 75732,10.200,133.149216,28.330818,http://exoplanet.eu/catalog/55_cnc_c/,http://exoplanets.org/detail/55_Cnc_c,2014-10-29
55 Cnc,55 Cnc d,,,3.87800,1232.49300,,,3.0 m C. Donald Shane Telescope,Lick Observatory,2002,Radial Velocity,5,4825.00000000,12.53,5.960,5196.00,0.91,0.94,HIP 43587,HD 75732,10.200,133.149216,28.330818,http://exoplanet.eu/catalog/55_cnc_d/,http://exoplanets.org/detail/55_Cnc_d,2014-10-29
55 Cnc,55 Cnc e,,,0.02561,8.13928,,,9.2 m Hobby-Eberly Telescope,McDonald Observatory,2004,Radial Velocity,5,0.73655150,12.53,5.960,5196.00,0.91,0.94,HIP 43587,HD 75732,10.200,133.149216,28.330818,http://exoplanet.eu/catalog/55_cnc_e/,http://exoplanets.org/detail/55_Cnc_e,2014-10-29
55 Cnc,55 Cnc f,,,0.14100,44.81200,,,Multiple Telescopes,Multiple Observatories,2007,Radial Velocity,5,262.00000000,12.53,5.960,5196.00,0.91,0.94,HIP 43587,HD 75732,10.200,133.149216,28.330818,http://exoplanet.eu/catalog/55_cnc_f/,http://exoplanets.org/detail/55_Cnc_f,2014-10-29
6 Lyn,6 Lyn b,,,,,,,1.88 m Telescope,Okayama Astrophysical Observatory,2008,Radial Velocity,1,874.77400000,56.95,,4978.00,1.70,5.20,HIP 31039,HD 45410,,97.696281,58.162632,http://exoplanet.eu/catalog/6_lyn_b/,http://exoplanets.org/detail/6_Lyn_b,2015-09-03
61 Vir,61 Vir b,,,,,,,Multiple Telescopes,Multiple Observatories,2009,Radial Velocity,3,4.21500000,8.52,4.740,5577.00,0.94,0.96,HIP 64924,HD 115617,8.960,199.601318,-18.311195,http://exoplanet.eu/catalog/61_vir_b/,http://exoplanets.org/detail/61_Vir_b,2014-05-14
